도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
문경시립모전도서관,경상북도,문경시,공공도서관,"""매주 화요일, 국가지정공휴일""",9:00,22:00,231,"""57,360""",55,0,5,7,경상북도 문경시 시청2길 45,경상북도 문경시청,054-550-8900,"""3,500""","""2,287""",http://mgculture.gbmg.go.kr,36.586729,128.185881,2015-08-25
선경도서관,경기도,팔달구,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",7:00,23:00,880,408320,352,23299,5,14,경기도 수원시 팔달구 신풍로23번길 68(신풍동),수원시청,031-228-4728,11830,8312,http://sk.suwonlib.go.kr,37.28386112,127.0104331,2015-07-31
중앙도서관,경기도,팔달구,공공도서관,"""1.3주 월요일, 국가지정 공휴일""",7:00,23:00,484,242904,277,11446,5,14,경기도 수원시 팔달구 팔달산로 318(교동),수원시청,031-228-4788,3438,2712,http://ct.suwonlib.go.kr,37.27358189,127.0121319,2015-07-31
창룡도서관,경기도,팔달구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,663,48448,132,0,5,14,경기도 수원시 팔달구 월드컵로381번길 36(우만동),수원시청,031-228-4881,5123,4337,http://cy.suwonlib.go.kr,37.29074231,127.0275488,2015-07-31
버드내도서관,경기도,권선구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,550,43101,119,0,5,14,경기도 수원시 권선구 세권로102번길 20(세류동),수원시청,031-228-4866,5653,4000,http://bdn.suwonlib.go.kr,37.2571141,127.0151683,2015-07-31
호매실도서관,경기도,권선구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,626,69428,154,0,5,14,경기도 수원시 권선구 칠보로 169(호매실동),수원시청,031-228-4658,8637,4930,http://hms.suwonlib.go.kr,37.2663379,126.9579934,2015-07-31
서수원지식정보도서관,경기도,권선구,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",7:00,23:00,800,189201,232,7333,5,14,경기도 수원시 권선구 탑동로57번길 35(탑동),수원시청,031-228-4747,2634,4587,http://seo.suwonlib.go.kr,37.27311789,126.9720697,2015-07-31
한림도서관,경기도,권선구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,453,42316,156,0,5,14,경기도 수원시 동수원로25번길 35-52(권선동),수원시청,031-228-4855,7155,2417,http://hl.suwonlib.go.kr,37.2498703,127.033568,2015-07-31
북수원지식정보도서관,경기도,장안구,공공도서관,"""1,3주 월요일, 국가지정 공휴일""",7:00,23:00,809,193285,267,6561,5,14,경기도 수원시 장안구 만석로 65(정자동),수원시청,031-228-4779,4530,4480,http://buk.suwonlib.go.kr,37.2976649,126.9883063,2015-07-31
대추골도서관,경기도,장안구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,500,62865,140,0,5,14,경기도 수원시 장안구 수일로 164(조원동),수원시청,031-228-4543,3460,2692,http://dcg.suwonlib.go.kr,37.30661069,127.0080945,2015-07-31
일월도서관,경기도,장안구,공공도서관,"""매주금요일, 국가지정 공휴일""",7:00,23:00,635,30200,139,0,5,14,경기도 수원시 장안구 일월천로 77(천천동),수원시청,031-228-4890,7961,3905,http://iw.suwonlib.go.kr,37.28689419,126.9777933,2015-07-31
광교홍재도서관,경기도,영통구,공공도서관,"""매주월요일, 국가지정 공휴일""",7:00,23:00,853,58188,152,0,5,14,경기도 수원시 영통구 대학로 88(이의동),수원시청,031-228-4639,3057,9824,http://gh.suwonlib.go.kr,37.30293605,127.0474411,2015-07-31
영통도서관,경기도,영통구,공공도서관,"""2,4주 월요일, 국가지정 공휴일""",7:00,23:00,925,260773,268,10015,5,14,경기도 수원시 영통구 청명로 151(영통동),수원시청,031-228-4756,9572,4136,http://yt.suwonlib.go.kr,37.25718685,127.0720587,2015-07-31
태장마루도서관,경기도,영통구,공공도서관,"""2,4주 금요일, 국가지정 공휴일""",7:00,23:00,822,91487,190,0,5,14,경기도 수원시 영통구 태장로 46(망포동),수원시청,031-228-4828,7676,3969,http://tm.suwonlib.go.kr,37.23866871,127.0510026,2015-07-31
한아름도서관,경기도,팔달구,공공도서관,"""매주월요일, 국가지정 공휴일""",9:00,22:00,76,48994,60,1031,5,14,경기도 수원시 팔달구 권광로 293(인계동),수원시청소년육성재단,031-218-0420,555,555,http://sycc.suwonlib.go.kr,37.2736314,127.0350112,2015-06-30
사랑샘도서관,경기도,영통구,공공도서관,"""매주토,일요일, 국가지정공휴일""",9:00,18:00,63,25961,5,2917,5,14,경기도 수원시 영통구 창룡대로 255(이의동),수원중앙복지재단,031-548-5660,7929,542,http://swlove.suwonlib.go.kr,37.29554796,127.0360499,2015-06-30
희망샘도서관,경기도,권선구,공공도서관,"""1,3주 일요일, 국가지정 공휴일""",9:00,22:00,137,35955,98,2100,5,14,경기도 권선구 매송고색로 520(고색동),수원YMCA,031-291-6943,417,417,http://swhope.suwonlib.go.kr,37.2502321,126.975473,2015-06-30
경주시립도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,360,177442,132,11666,5,14,경상북도 경주시 원화로 431-12(황성동 370),경상북도 경주시청,054-779-8891,5376,3295.5,http://www.kjlib.or.kr,35.8598053,129.2191634,2015-08-31
송화도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,320,48670,77,376,5,14,경상북도 경주시 태종로 472-9,경상북도 경주시청,054-779-8907,2745,2030.6,http://www.kjlib.or.kr,35.8420375,129.1816146,2015-08-31
중앙도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,130,31256,42,0,5,14,경상북도 경주시 금성로 236,경상북도 경주시청,054-779-8910,2013,536,http://www.kjlib.or.kr,35.8383679,129.2077702,2015-08-31
감포도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,12,54828,23,0,5,14,경상북도 경주시 동해안로 2151,경상북도 경주시청,054-779-8912,308,308,http://www.kjlib.or.kr,35.807452,129.501577,2015-08-31
칠평도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,128,52414,51,0,5,14,경상북도 경주시 비화중로 51,경상북도 경주시청,054-779-8914,1155,994,http://www.kjlib.or.kr,35.9922929,129.218475,2015-08-31
단석도서관,경상북도,경주시,공공도서관,"""매주월요일, 국가지정공휴일""",8:00,21:00,46,52743,31,0,5,14,경상북도 경주시 작원3길 23,경상북도 경주시청,054-779-8916,938,668,http://www.kjlib.or.kr,35.8517814,129.1025047,2015-08-31
부안군립도서관,전라북도,부안군,공공도서관,일요일을 제외한 공휴일,8:00,23:00,310,52812,17,761,5,15,전라북도 부안군 부안읍 매창로 125,부안군,063-580-3946,2478,1325,http://www.buan.go.kr,35.719242,126.732487,2016-10-14
평창군립대화도서관,강원도,평창군,공공도서관,매주월요일,9:00,22:00,80,39751,216,1126,5,14,강원도 평창군 대화면 남산2길 27,강원도 평창군청,033-336-3618,1618,790,http://lib.happy700.or.kr,37.501265,128.457798,2016-10-18
평창군립봉평도서관,강원도,평창군,공공도서관,매주월요일,9:00,22:00,25,14571,180,462,5,14,강원도 평창군 봉평면 기풍4길 10,강원도 평창군청,033-330-2826,493.29,473.21,http://lib.happy701.or.kr,37.616113,128.37939,2016-10-18
평창군립진부도서관,강원도,평창군,공공도서관,매주월요일,9:00,22:00,50,48844,220,1253,5,14,강원도 평창군 진부면 석두로 12-8,강원도 평창군청,033-335-2547,1166,491,http://lib.happy702.or.kr,37.635356,128.55434,2016-10-18
송파글마루도서관,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
송파어린이도서관,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
거마도서관,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
소나무언덕1호,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
소나무언덕2호,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
소나무언덕3호,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
소나무언덕4호,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
소나무언덕 잠실본동,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
송파어린이영어,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
돌마리도서관,서울특별시,송파구,공공도서관,,,,,,,,,,,,,,,,,,
익산모현도서관,전라북도,익산시,공공도서관,"""매주 월요일 (단, 일요일과 공휴일이 겹칠경우 휴무)""",7:00,23:00,1087,121762,190,19848,5,21,전라북도 익산시 선화로6길 7,,063-859-3731,9963,7492,http://lib.iksan.go.kr,35.94983245,126.9364581,2016-09-10
익산마동도서관,전라북도,익산시,공공도서관,"""매주 월요일 (단, 일요일과 공휴일이 겹칠경우 휴무)""",7:00,23:00,968,193156,212,9722,5,21,전라북도 익산시 선화1로 99,,063-722-3344,8543,4973,http://lib.iksan.go.kr,35.94007212,126.9686896,2016-09-10
익산영등도서관,전라북도,익산시,공공도서관,"""매주 월요일 (단, 일요일과 공휴일이 겹칠경우 휴무)""",7:00,23:00,838,137105,322,5658,5,21,전라북도 익산시 궁동로 57,,063-859-4661,2910,3575,http://lib.iksan.go.kr,35.96291519,126.9777442,2016-09-10
익산부송도서관,전라북도,익산시,공공도서관,"""매주 월요일 (단, 일요일과 공휴일이 겹칠경우 휴무)""",7:00,23:00,718,66708,73,2822,5,21,전라북도 익산시 무왕로 25길 30,,063-859-3717,7902,3743,http://lib.iksan.go.kr,35.96449971,126.9945945,2016-09-10
익산황등도서관,전라북도,익산시,공공도서관,"""매주 월요일 (단, 일요일과 공휴일이 겹칠경우 휴무)""",9:00,18:00,100,5897,28,92,5,21,전라북도 익산시 황등면 황등8길 7,,063-859-3721,2694,442,http://lib.iksan.go.kr,36.00458427,126.9433841,2016-09-10
가평중앙도서관,경기도,가평군,공공도서관,"""신정,설,추석연휴""",7:00,24:00:00,96,146396,89,3813,7,14,경기도 가평군 가평읍 가화로64,가평군,031-580-4041,2753,837,www.gaplib.or.kr,37.831371,127.509708,2016-09-28
가평설악도서관,경기도,가평군,공공도서관,"""신정,설,추석연휴""",7:00,24:00:00,74,68744,42,2575,7,14,경기도 가평군 설악면 자잠로 65,가평군,031-580-4312,3251,1470,www.gaplib.or.kr,37.6832798,127.4887552,2016-09-28
가평청평도서관,경기도,가평군,공공도서관,"""신정,설,추석연휴""",7:00,24:00:00,210,57461,42,1370,7,14,경기도 가평군 청평면 은고개로 31,가평군,031-580-4330,4503,2486.23,www.gaplib.or.kr,37.73959,127.42418,2016-09-28
가평조종도서관,경기도,가평군,공공도서관,"""신정,설,추석연휴""",7:00,24:00:00,153,74619,52,3102,7,14,경기도 가평군 조종면 조종희망로 26번길22,가평군,031-580-4301,2692,1485,www.gaplib.or.kr,37.8183076,127.353047,2016-09-28
서울특별시교육청도봉도서관(종합자료실),서울특별시,도봉구,공공도서관,"""매월 둘째, 넷째 수요일""",9:00,18:00,78,161247,119,0,7,14,서울특별시 도봉구 삼양로 556(쌍문동),서울특별시 교육청,02-6714-7400,,,http://dblib.sen.go.kr/,37.6525847,127.0129824,2016-10-25
서울특별시교육청도봉도서관(어린이자료실),서울특별시,도봉구,공공도서관,"""매월 둘째, 넷째 수요일""",9:00,18:00,61,56836,14,0,7,14,서울특별시 도봉구 삼양로 556(쌍문동),서울특별시 교육청,02-6714-7400,,,http://dblib.sen.go.kr/,37.65257,127.0129,2016-10-25
서울특별시교육청도봉도서관(디지털자료실),서울특별시,도봉구,공공도서관,"""매월 둘째, 넷째 수요일""",9:00,22:00,56,0,0,11580,2,14,서울특별시 도봉구 삼양로 556(쌍문동),서울특별시 교육청,02-6714-7400,,,http://dblib.sen.go.kr/,37.6527461,127.0129663,2016-10-25
도봉문화정보센터(종합자료실),서울특별시,도봉구,공공도서관,매주 화요일,9:00,22:00,80,45000,83,0,3,14,서울특별시 도봉구 덕릉로 315 (창동),서울특별시 도봉구청,02-900-1835,,,http://www.unilib.dobong.kr/,37.6445808,127.0438827,2016-10-25
도봉문화정보센터(어린이열람실),서울특별시,도봉구,공공도서관,매주 화요일,9:00,18:00,48,26000,12,0,3,14,서울특별시 도봉구 덕릉로 315 (창동),서울특별시 도봉구청,02-900-1835,,,http://www.unilib.dobong.kr/,37.6445808,127.0438827,2016-10-25
도봉어린이문화정보센터(영 유아),서울특별시,도봉구,공공도서관,매주 화요일,9:00,18:00,50,20146,3,0,3,14,서울특별시 도봉구 노해로69길 151,서울특별시 도봉구청,02-995-4171,,,http://www.kidlib.dobong.kr/,37.6590072,127.0494699,2016-10-25
학마을다사랑센터 (어린이 자료실),서울특별시,도봉구,공공도서관,매주 월요일,9:00,18:00,0,14947,0,0,3,14,서울특별시 도봉구 시루봉로 128,서울특별시 도봉구청,02-901-5195,,,http://www.hakmaeul.or.kr/,37.66211,127.02782,2016-10-25
방학동영유아플라자,서울특별시,도봉구,공공도서관,매주 일요일,9:30,17:30,0,15496,0,2719,3,14,서울특별시 도봉구 방학로 12길 28 (방학동),서울특별시 도봉구청,02-3494-3557,,,http://www.doccic.go.kr/youngua/,37.66323,127.03033,2016-10-25
창동영유아플라자,서울특별시,도봉구,공공도서관,매주 월요일,9:30,17:30,0,4308,0,1007,3,14,서울특별시 도봉구 우이천로4길 24-5 (창동),서울특별시 도봉구청,02-994-3372,,,http://www.doccic.go.kr/youngua/,37.63351,127.0411,2016-10-25
도봉 기적의 도서관,서울특별시,도봉구,공공도서관,매주 화요일,9:00,18:00,0,13306,145,163,3,14,서울특별시 도봉구 마들로 797,서울특별시 도봉구청,02-2091-2273,,,http://www.miraclelib.dobong.kr/,37.6807721,127.0502436,2016-10-25
도봉어린이문화정보센터(디지털자료실),서울특별시,도봉구,공공도서관,매주 화요일,9:00,18:00,8,0,0,1426,0,0,서울특별시 도봉구 노해로69길 151,서울특별시 도봉구청,02-995-4171,,,http://www.kidlib.dobong.kr/,37.6590072,127.0494699,2016-10-25
"""도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)""",서울특별시,도봉구,공공도서관,매주 화요일,9:00,18:00,67,47576,32,0,3,14,서울특별시 도봉구 노해로69길 151,서울특별시 도봉구청,02-995-4171,,,http://www.kidlib.dobong.kr/,37.6590072,127.0494699,2016-10-25
학마을다사랑센터 (종합자료실),서울특별시,도봉구,공공도서관,매주 월요일,9:00,20:00,36,42245,0,3345,3,14,서울특별시 도봉구 시루봉로 128,서울특별시 도봉구청,02-901-5195,,,http://www.hakmaeul.or.kr/,37.6621078,127.0278197,2016-10-25
중앙도서관,충청남도,천안시,공공도서관,"""매월 둘째/넷째 월요일, 국가지정공휴일""",8:00,22:00,200,199142,84,6243,10,14,충청남도 천안시 동남구 중앙로 118,충청남도 천안시청,041-521-3721,3727,4824,http://www.cheonan.go.kr/lib.do,36.8089661,127.1533111,2016-06-17
쌍용도서관,충청남도,천안시,공공도서관,"""매월 첫째/셋째 월요일, 국가지정공휴일""",8:00,22:00,404,142610,101,3746,10,14,충청남도 천안시 서북구 월봉4로 153,충청남도 천안시청,041-521-3731,5631,4792,http://www.cheonan.go.kr/lib.do,36.8003721,127.1146491,2016-06-17
성거도서관,충청남도,천안시,공공도서관,"""매월 둘째/넷째 월요일, 국가지정공휴일""",8:00,22:00,160,85339,37,347,10,14,충청남도 천안시 서북구 성거읍 천흥3길 3,충청남도 천안시청,041-521-3734,2745,1576,http://www.cheonan.go.kr/lib.do,36.8715171,127.2007341,2016-06-17
아우내도서관,충청남도,천안시,공공도서관,"""매월 첫째/셋째 월요일, 국가지정공휴일""",8:00,22:00,37,58037,39,904,10,14,충청남도 천안시 동남구 병천면 병천2로 57,충청남도 천안시청,041-521-3723,10495,4456,http://www.cheonan.go.kr/lib.do,36.7668541,127.3032271,2016-06-17
도솔도서관,충청남도,천안시,공공도서관,"""매월 둘째/넷째 월요일, 국가지정공휴일""",8:00,22:00,180,80870,66,1399,10,14,충청남도 천안시 서북구 번영로 156,충청남도 천안시청,041-521-3735,1088,1088,http://www.cheonan.go.kr/lib.do,36.8150721,127.1136291,2016-06-17
두정도서관,충청남도,천안시,공공도서관,"""매월 첫째/셋째 월요일, 국가지정공휴일""",8:00,22:00,362,107796,75,1384,10,14,충청남도 천안시 서북구 부성3길 9,충청남도 천안시청,041-521-3733,16325,6663,http://www.cheonan.go.kr/lib.do,36.8344961,127.1346781,2016-06-17
신방도서관,충청남도,천안시,공공도서관,"""매월 둘째/넷째 월요일, 국가지정공휴일""",8:00,22:00,270,68317,83,1020,10,14,충청남도 천안시 동남구 통정4로 7,충청남도 천안시청,041-521-3724,12252,5390,http://www.cheonan.go.kr/lib.do,36.7744291,127.1307781,2016-06-17
광진정보도서관,서울특별시,광진구,공공도서관,"""매월 둘?, 넷째 화요일, 공휴일""",9:00,23:00,1295,192413,400,12021,5,21,서울특별시 광진구 아차산로78길 90(광장동),서울특별시 광진구청,02-3437-5092,,7283,http://www.gwangjinlib.seoul.kr/,37.55107355,127.1106137,2016-06-07
중곡문화체육센터도서관,서울특별시,광진구,공공도서관,"""매월 첫째, 셋째 월요일, 공휴일""",9:00,22:00,259,66378,33,0,5,21,서울특별시 광진구 능동로 433(중곡동),서울특별시 광진구청,02-3408-4900,,2032,http://www.gwangjinlib.seoul.kr/,37.56777776,127.0848034,2016-06-07
자양제4동도서관,서울특별시,광진구,공공도서관,"""매월 첫째, 셋째 화요일, 공휴일""",9:00,19:00,98,24250,3,0,5,21,서울특별시 광진구 뚝섬로26길 58(자양동),서울특별시 광진구청,02-465-0737,,333,http://www.gwangjinlib.seoul.kr/,37.5340959,127.0662599,2016-06-07
구의제3동도서관,서울특별시,광진구,공공도서관,"""매월 둘째, 넷째 월요일, 공휴일""",9:00,19:00,64,18989,2,0,5,21,서울특별시 광진구 강변역로 17(구의동),서울특별시 광진구청,02-454-6294,,305,http://www.gwangjinlib.seoul.kr/,37.53799261,127.091984,2016-06-07
노원정보도서관,서울특별시,노원구　,공공도서관,"""법정공휴일(일요일제외),매월 첫째,셋째 월요일""",9:00,18:00,827,185437,294,8390,5,14,서울특별시 노원구 노원로34길 43(상계동),노원구구립도서관,02-950-0050,2850,6526,www.nowonlib.kr,37.66110029,127.0650081,2016-10-20
노원어린이도서관,서울특별시,노원구　,공공도서관,"""법정공휴일(일요일제외),매주 화요일""",9:00,18:00,227,87673,51,4470,5,14,서울특별시 노원구 한글비석로 346(중계동),노원구구립도서관,02-933-7145,1140,1275,www.nowonlib.kr,37.65795085,127.0763791,2016-10-20
월계문화정보도서관,서울특별시,노원구　,공공도서관,"""법정공휴일(일요일제외),매월 둘째,넷째 월요일""",9:00,18:00,370,103271,173,3535,5,14,서울특별시 노원구 월계로 319(월계동),노원구구립도서관,02-991-0871,701,1962,www.nowonlib.kr,37.628637,127.056121,2016-10-20
상계문화정보도서관,서울특별시,노원구　,공공도서관,"""법정공휴일(일요일제외),매월 둘째,넷째 월요일""",9:00,18:00,366,52930,75,1592,5,14,서울특별시 노원구 동일로243길 57 (상계동),노원구구립도서관,02-3391-7882,1012,2366,www.nowonlib.kr,37.67852812,127.0519416,2016-10-20
화랑도서관,서울특별시,노원구　,공공도서관,"""법정공휴일(일요일제외),매월 둘째,넷째 월요일""",9:00,18:00,213,34630,0,1538,5,14,서울특별시 노원구 노원로1나길 10 (공릉동),노원구구립도서관,02-973-1318,1019,937,www.nowonlib.kr,37.62152134,127.0830476,2016-10-20
신안군립도서관,전라남도,신안군,공공도서관,"""월요일,국경일""",9:00,22:00,88,57108,3,10,45000,300,전라남도 신안군 압해읍 압해로 825,전라남도 신안군청,061-240-4070,2717,1116,,34.8626501,126.3177669,2016-05-30
흑산자산문화도서관,전라남도,신안군,공공도서관,"""월요일,국경일""",9:00,18:00,30,14649,0,0,10000,300,전라남도 신안군 흑산면 흑산일주로 5,전라남도 신안군 흑산면사무소,061-240-3801,1455,753,http://www.shinan.go.kr/home/www/about/experience_center,34.6841524,125.4426135,2016-05-30
꿈나무어린이도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",10:00,19:00,86,"""74,327""",16,"""1,596""",3,14,서울특별시 구로구 구로동로26길 54,서울특별시 구로구 구로문화원,02-860-2383,,638,http://lib.guro.go.kr,37.5651,126.98955,2016-04-19
꿈마을도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",8:00,22:00,114,"""32,832""",9,0,3,14,서울특별시 구로구 디지털로27다길 65,서울특별시 구로구 구로문화원,02-830-5807,,476,http://lib.guro.go.kr,37.551359,126.868749,2016-04-19
구로초주민전용도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",9:00,22:00,82,"""25,786""",12,0,3,14,서울특별시 구로구 구로중앙로27나길 9,서울특별시 구로구 구로문화원,02-858-9080,,460,http://lib.guro.go.kr,37.496915,126.877052,2016-04-19
개봉어린이도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",10:00,19:00,110,"""30,259""",10,513,3,14,서울특별시 구로구 경인로 318-15,서울특별시 구로구 구로문화원,02-2066-1659,,492,http://lib.guro.go.kr,37.496698,126.847149,2016-04-19
하늘도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",8:00,22:00,100,"""26,302""",11,0,3,14,서울특별시 구로구 구로동로 13길 68,서울특별시 구로구 구로문화원,02-864-9585,,521,http://lib.guro.go.kr,37.487432,126.872163,2016-04-19
개봉도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",9:00,22:00,61,"""18,913""",10,0,3,14,서울특별시 구로구 개봉로16길 30-11,서울특별시 구로구 구로문화원,02-2689-1695,,275,http://lib.guro.go.kr,37.489738,126.849616,2016-04-19
글마루한옥어린이도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",10:00,19:00,80,"""25,508""",5,313,3,14,서울특별시 구로구 고척로27바길 7,서울특별시 구로구 구로문화원,02-2615-8200,,441,http://lib.guro.go.kr,37.506861,126.836859,2016-04-19
신도림어린이영어도서관,서울특별시,구로구,공공도서관,"""매주화요일, 법정공휴일""",10:00,19:00,20,"""12,340""",0,0,3,14,서울특별시 구로구 신도림로13길 51,서울특별시 구로구 구로문화원,02-2069-0185,,107,http://lib.guro.go.kr,37.510331,126.871219,2016-04-19
여수시립쌍봉도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,744,151244,57,19290,151244,338,전라남도 여수시 학동서4길 18-12(학동),전라남도 여수시,061-659-4770,30111,3700,yslib.yeosu.go.kr,34.7630441,127.658722,2015-06-30
여수시립현암도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,737,169225,42,15417,169225,338,전라남도 여수시 충민사길 43(덕충동),전라남도 여수시,061-659-4810,9947,3534,yslib.yeosu.go.kr,34.7571412,127.7314764,2015-06-30
여수시립환경도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,315,80394,40,2412,80394,338,전라남도 여수시 문수로 53-32(문수동),전라남도 여수시,061-659-4811,22388,2274,yslib.yeosu.go.kr,34.7542288,127.7010727,2015-06-30
여수시립돌산도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,144,65541,24,0,65541,288,전라남도 여수시 돌산읍 강남해안로 129,전라남도 여수시,061-659-4823,1820,1146,yslib.yeosu.go.kr,34.7160081,127.7499315,2015-06-30
여수시립소라도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,114,65520,24,0,65520,288,전라남도 여수시 소라면 덕양로 344,전라남도 여수시,061-659-4833,1660,1230,yslib.yeosu.go.kr,34.7886128,127.6334897,2015-06-30
여수시립율촌도서관,전라남도,여수시,공공도서관,"""법정공휴일, 정기청소일""",7:30,22:00,338,40554,22,0,40554,288,전라남도 여수시 율촌면 율촌로 100-11,전라남도 여수시,061-659-4848,5022,1558,yslib.yeosu.go.kr,34.8837459,127.5786328,2015-06-30
달성군립도서관,대구광역시,달성군,공공도서관,"""매주 월, 국가공휴일""",9:00,20:00,202,44721,86,1240,5,14,대구광역시 달성군 다사읍 달구벌대로 174길 10-13,(재)달성문화재단,053-584-0011,1954,678,http://www.dalseonglib.kr,35.8656289,128.4607826,2016-09-27
갈마도서관,대전광역시,서구,공공도서관,매주월요일,7:00,10:00,800,169064,52,7895,10,14,대전광역시 서구 신갈마로 127번길 138(갈마동),대전광역시 서구청,042-533-4283,1488,2705.86,http://www.galmalib.or.kr/flow/,36.3408351,127.3657481,2016-09-01
가수원도서관,대전광역시,서구,공공도서관,매주월요일,7:00,22:00,780,119180,43,3314,10,14,대전광역시 서구 가수원로 91-11(가수원동),대전광역시 서구청,042-543-0051,4887,3877.57,http://gasuwonlib.or.kr/flow/,36.3016341,127.3489371,2016-09-01
둔산도서관,대전광역시,서구,공공도서관,매주월요일,7:00,22:00,470,95962,43,1848,10,14,대전광역시 서구 청사로 263(둔산동),대전광역시 서구청,042-471-2572,999.9,2366.98,http://www.dunsanlib.or.kr/flow/,36.3600271,127.3937881,2016-09-01
칠곡군립도서관,경상북도,칠곡군,공공도서관,매주금요일 및 국가지정 공휴일,9:00,22:00,400,59797,49,2367,5,14,경상북도 칠곡군 왜관읍 달오1길 6-7,경상북도 칠곡군청,054-979-6700,2449,1358,www.chilgoklib.or.kr,35.97529181,128.3995293,2016-06-09
석적도서관,경상북도,칠곡군,공공도서관,매주월요일 및 국가지정 공휴일,9:00,22:00,130,47722,42,883,5,14,경상북도 칠곡군 석적읍 남중리2길 25,경상북도 칠곡군청,054-973-1127,2166,423,www.chilgoklib.or.kr,36.07449242,128.4091664,2016-06-10
북삼도서관,경상북도,칠곡군,공공도서관,매주월요일 및 국가지정 공휴일,9:00,22:00,240,49519,43,1222,5,14,경상북도 칠곡군 북삼읍 인평2길 1,경상북도 칠곡군청,054-973-1124,680,582,www.chilgoklib.or.kr,,,2016-06-11
정산도서관,충청남도,청양군,공공도서관,매주 월요일 및 공휴일,9:00,21:00,191,24786,19,771,24786,14,충청남도 청양군 정산면 역말길 5-5,충청남도 청양군청,041-940-2555,6212,1762,http://lib.cheongyang.go.kr/,36.4129243,126.9512062,2016-09-22
고창군립도서관,전라북도,고창군,공공도서관,매주토요일,9:00,22:00,158,50723,8,710,5,14,전라북도 고창군 고창읍 모양성로 11,전라북도 고창군청,063-560-2420,8777,1070,http://lib.gccl.kr,35.4329924,126.7044902,2016-10-26
고창군립성호도서관,전라북도,고창군,공공도서관,매주일요일,9:00,22:00,159,33409,8,123,5,14,전라북도 고창군 고창읍 모양성로 50,전라북도 고창군청,063-561-2421,778.26,778.26,http://lib.gccl.kr,35.4365872,126.7022941,2016-10-26
오산시중앙도서관,경기도,오산시,공공도서관,"""신정, 설연휴, 추석연휴, 매월 첫째 월요일""",7:00,0:00,484,244849,104,2151,5,14,경기도 오산시 운암로 85 (오산동),오산시,031-8036-6140,2970.1,6421.36,http://ja.osanlibrary.go.kr/jungang/main.do,37.1538369,127.0768604,2016-07-31
오산시 꿈두레도서관,경기도,오산시,공공도서관,"""신정, 설연휴, 추석연휴, 매월 셋째 월요일""",7:00,0:00,370,67573,99,725,5,14,경기도 오산시 세마역로 20 (세교동),오산시,031-8036-6520,8342,5277,http://www.osanlibrary.go.kr/kkumdure/main.do,37.2481271,127.0843941,2016-07-31
